Address,Common Name,Latitude,Longitude,Total,Substances,Noise
2345 SHERIDAN RD,,42.06073809999999,-87.677095,1,0,0
 CHURCH ST,,42.0483394,-87.70101009999999,2,0,0
SHERIDAN RD AND CAMPUS DR,,42.050169,-87.6743965,1,0,0
2236 SHERMAN AVE,,42.0587059,-87.68162869999999,5,0,0
621 GARRETT PL,,42.0564649,-87.6782029,3,0,0
718 FOSTER ST,,42.053635,-87.6808456,3,0,1
2045 MAPLE AVE,,42.055521,-87.684313,7,0,6
617 NOYES ST,National High School Institute,42.0586083,-87.67813249999999,5,0,0
1123 NOYES ST,,42.058713,-87.687063,1,1,0
711 UNIVERSITY PL,Kappa Delta,42.0513486,-87.6806611,7,2,0
900 FOSTER ST,,42.0539097,-87.6832137,18,1,0
MCCORMICK BLVD AND GREEN BAY RD,,42.0597956,-87.6949298,1,0,0
1018 GARNETT PL,,42.0528831,-87.68574040000001,2,0,1
1947 CAMPUS DR,,42.0520778,-87.6735446,1,0,0
 2300 N CAMPUS DR ,,42.0590799,-87.673463,1,0,0
1600 RIDGE AVE,,42.047417,-87.689272,3,0,0
1850 CAMPUS DR,Locy Hall,42.0510319,-87.67388869999999,6,0,0
601 UNIVERSITY PL,Scott Hall,42.0509586,-87.67755079999999,48,1,3
2300 SHERMAN AVE,,42.059535,-87.6820584,1,0,0
1700 CHICAGO AVE,,42.047745,-87.6789081,1,0,0
639 LIBRARY PL,,42.055224,-87.67917299999999,1,0,0
2031 PRATT CT,,42.055064,-87.68554999999999,1,0,0
ORRINGTON AVE AND GARRETT PL,,42.0562359,-87.6796651,1,0,0
 2300 CAMPUS DR ,,42.0562473,-87.67350030000001,2,0,0
1600 ASBURY AVE,,42.0470969,-87.6901455,3,0,0
1510 CHICAGO AVE,,42.0455631,-87.6805467,1,0,0
 1900 SHERIDAN RD ,,42.0520864,-87.67726449999999,1,0,0
726 UNIVERSITY PL,Chapin Hall,42.0510416,-87.6812257,22,18,0
624 CLARK ST,NU Apartments,42.0495469,-87.67944399999999,1,0,0
577 LINCOLN ST,,42.0617661,-87.6759873,1,1,0
233 SUPERIOR ST,,0,0,1,0,0
2600 ASHLAND AVE,,42.0642916,-87.6938646,2,0,0
2234 CAMPUS DR,,42.0562473,-87.67350030000001,1,0,0
2021 RIDGE AVE,,42.0547117,-87.686866,4,0,1
GREEN BAY RD AND EMERSON ST,,42.0521746,-87.6885581,1,0,0
 2000 SHERIDAN RD ,,42.0542925,-87.6776452,1,0,0
629 GARRETT PL,,42.05655,-87.678652,1,0,0
 2033 SHERIDAN RD ,,42.0547974,-87.6763192,1,0,0
1008 DAVIS ST,,42.0467825,-87.6855145,3,0,0
1000 LAKE ST,,42.0441398,-87.68505069999999,1,1,0
 2170 N CAMPUS DR ,,42.0588367,-87.67416329999999,1,0,0
2221 CAMPUS DR,Soccer Field,42.0562473,-87.67350030000001,10,0,0
 GREEN BAY RD,,42.0601312,-87.6953413,2,0,0
1847 CAMPUS DR,Parking Structure,42.0502605,-87.6739886,32,0,0
1700 SHERMAN AVE,,42.0485969,-87.6821262,7,0,0
1633 ORRINGTON AVE,,42.04777360000001,-87.680651,1,0,0
720 UNIVERSITY PL,Human Resources,42.0510579,-87.68084329999999,14,0,0
HINMAN AVE AND CLARK ST,,42.0489789,-87.67638819999999,6,2,0
640 LINCOLN ST,,42.0611133,-87.67922030000001,25,2,0
50 ARTS CIRCLE DR,Pick-Staiger,42.0526907,-87.6721541,15,2,0
2037 PRATT CT,,42.055319,-87.68554499999999,3,0,0
620 GROVE ST,,42.04515430000001,-87.6813158,1,0,0
PRATT CT AND SIMPSON ST,,42.05580459999999,-87.6858771,1,3,0
LINCOLN ST AND SHERMAN AVE,,42.0616944,-87.6816035,1,0,0
2113 MAPLE AVE,,42.05631,-87.68430769999999,2,0,0
1129 FOSTER ST,,42.0539675,-87.6871213,1,0,1
2209 RIDGE AVE,,42.0577074,-87.6856854,3,1,1
909 HAMLIN ST,,42.0553055,-87.68393449999999,5,0,2
SHERMAN AVE AND FOSTER ST,,42.0538824,-87.6817162,3,2,0
1640 CHICAGO AVE,,42.0475917,-87.67956009999999,1,0,0
2219 MAPLE AVE,,42.0582726,-87.6844871,2,1,0
HINMAN AVE AND GROVE ST,,42.0445702,-87.67855259999999,1,0,0
MAPLE AVE AND CLARK ST,,42.0499823,-87.6847811,1,1,0
1860 SHERIDAN RD,,42.0506542,-87.67588599999999,1,0,0
619 EMERSON ST,Urban Affairs,42.0521933,-87.6782842,16,6,0
 2121 SHERIDAN RD ,,42.0562209,-87.6755804,1,0,0
715 LINCOLN ST,,42.06199,-87.6804949,1,0,1
1200 SIMPSON ST,,42.0556613,-87.68715639999999,1,0,1
CLARK ST AND RIDGE AVE,,42.0501346,-87.6883727,1,0,0
910 SIMPSON ST,,42.055589,-87.68387799999999,6,0,1
617 GROVE ST,,42.0456085,-87.68136469999999,1,0,0
1744 DODGE AVE,,42.050057,-87.699277,1,0,0
 2100 BLK CAMPUS DR ,,42.0559386,-87.67411059999999,1,0,0
641 LIBRARY PL,,42.055224,-87.67917299999999,1,0,0
DAVIS ST AND SHERIDAN RD,,42.0445787,-87.67336329999999,1,0,0
1 ARTS CIRCLE DR,,42.0527607,-87.6718058,3,0,0
SHERIDAN RD AND MILBURN ST,,42.0628136,-87.6771009,1,0,0
1015 DAVIS ST,,42.0474342,-87.685763,4,0,0
2703 ASHLAND AVE,,42.0668449,-87.6938102,1,0,0
 2170 CAMPUS DRIVE DR ,,42.0563707,-87.67408329999999,1,0,0
LAKE ST AND CHICAGO AVE,,42.0440799,-87.6805169,1,0,0
 2339 SHERIDAN RD ,,42.0604776,-87.67636379999999,1,0,0
700 ELGIN RD,,42.0499094,-87.67989299999999,2,0,0
2601 SHERIDAN RD,,42.0638959,-87.676189,2,0,0
 619 CLARK ST ,,42.0498139,-87.6790798,1,0,0
831 HAMLIN ST,,42.0552748,-87.68328199999999,2,0,1
2650 RIDGE AVE,,42.0657846,-87.6846776,20,4,0
600 HAVEN ST,,42.0570352,-87.67820549999999,13,0,0
2034 SHERMAN AVE,,42.055197,-87.682052,2,0,2
2020 RIDGE AVE,Development,42.0545341,-87.687445,34,0,1
1711 SHERMAN AVE,,42.0489579,-87.68135869999999,5,0,0
1916 DODGE AVE,,42.0527435,-87.6992192,1,0,0
910 NOYES ST,,42.0582568,-87.68372830000001,1,0,0
1729 EMERSON ST,,42.0521149,-87.69713929999999,1,0,0
815 NOYES ST,,42.058625,-87.6826135,1,0,0
1870 CAMPUS DR,McCormick Tribune,42.0513194,-87.67418119999999,22,0,0
2018 MAPLE AVE,,42.054644,-87.68504399999999,2,1,0
1927 SHERMAN AVE,,42.0528936,-87.68113679999999,1,0,1
 1856 ORRINGTON AVE ,,42.05171840000001,-87.67946549999999,1,0,0
560 LINCOLN ST,,42.0616005,-87.6750648,16,0,1
2123 SHERIDAN RD,Garrett Lot,42.0562219,-87.6771651,4,0,0
 1018 BURR OAKS ST ,,0,0,1,0,0
1017 GARNETT PL,,42.053345,-87.68560599999999,1,1,0
2003 SHERIDAN RD,Andersen Hall,42.05385039999999,-87.67720969999999,1,0,0
2141 SHERMAN AVE,,42.057068,-87.681074,1,0,0
 ELGIN RD,,42.0508001,-87.6821298,1,0,0
 CENTRAL ST,,42.0643653,-87.7048791,5,4,0
 BENSON AVE,,42.0499658,-87.68335189999999,2,0,0
 528 DEMPSTER ST ,,42.0410368,-87.6802634,1,0,0
1834 CHICAGO AVE,,42.0507322,-87.677709,2,0,0
625 GARRETT PL,Executive Vice-President's House,42.05654699999999,-87.678488,8,0,1
1871 ORRINGTON AVE,Kappa Kappa Gamma,42.0520515,-87.67964239999999,14,6,0
 CHICAGO AVE,,42.0349826,-87.6795769,2,0,0
2301 SHERIDAN RD,,42.0592375,-87.6771157,1,0,0
1948 RIDGE AVE,F/M Storage,42.0539754,-87.6878545,4,0,0
SHERIDAN RD AND CHICAGO AVE,,42.0510576,-87.677299,11,5,0
1920 MAPLE AVE,,42.0529,-87.684968,2,0,2
1700 SHERIDAN RD,,42.046574,-87.6741442,2,0,0
2300 CAMPUS DR,,42.0562473,-87.67350030000001,36,3,0
2207 RIDGE AVE,,42.0577412,-87.686143,1,0,0
 1700 BLK RIDGE AVE ,,42.0485218,-87.68878409999999,1,0,0
629 NOYES ST,Center for Health Services II,42.058668,-87.678617,3,0,0
EMERSON ST AND BENSON AVE,,42.052091,-87.6832902,1,0,0
1810 CHICAGO AVE,Sociology Department II,42.05002229999999,-87.67820329999999,5,0,0
405 CHURCH ST,Traffic Institute,42.0471817,-87.6758024,6,0,0
2030 ORRINGTON AVE,,42.055039,-87.6800873,1,0,0
HINMAN AVE AND SHERIDAN RD,,42.0505773,-87.6756095,2,0,0
830 FOSTER ST,,42.053921,-87.6828515,1,0,0
618 LIBRARY PL,Family Institute,42.0544283,-87.6779861,20,0,0
1501 MAPLE AVE,,42.044658,-87.684597,1,0,0
1022 EMERSON ST,,42.0518805,-87.6852751,1,0,0
333 SUPERIOR ST,,0,0,1,0,0
815 EMERSON ST,,42.0524851,-87.68260550000001,1,0,0
610 LINCOLN ST,,42.061065,-87.6776986,1,0,0
2401 CAMPUS DR,,42.0562473,-87.67350030000001,2,0,0
2169 CAMPUS DR,Allen Center,42.0564729,-87.67321439999999,47,0,1
1600 BENSON AVE,,42.04703960000001,-87.6834526,1,0,0
617 FOSTER ST,Blomquist Gym,42.05384979999999,-87.6779656,23,0,0
2144 SHERIDAN RD,,42.0572969,-87.677144,1,0,0
2000 SHERIDAN RD,Program on Women,42.0542925,-87.6776452,16,2,0
1915 MAPLE AVE,Engelhart Hall,42.052658,-87.6843851,101,5,6
2331 SHERIDAN RD,Phi Gamma Delta,42.0602184,-87.67666179999999,12,0,3
2150 SHERMAN AVE,,42.0574428,-87.6822012,1,1,0
1633 CHICAGO AVE,,42.0472938,-87.678642,1,0,0
912 SIMPSON ST,,42.0556132,-87.6840376,1,0,0
2707 ASHLAND AVE,Coon Hall,42.0669385,-87.6938078,32,0,0
1001 EMERSON ST,,42.0523396,-87.6851731,1,0,0
2309 SHERIDAN RD,Lindgren House,42.0596748,-87.6769913,8,3,0
1739 SHERMAN AVE,,42.0496619,-87.6815613,1,0,0
676 SAINT CLAIR ST,,41.8945828,-87.6231705,1,0,0
1501 CENTRAL ST,Ryan Field,42.0642783,-87.6928188,233,62,1
2122 MAPLE AVE,,42.05661300000001,-87.685064,1,2,0
2341 SHERIDAN RD,Sigma Phi Epsilon,42.0604927,-87.67710319999999,5,2,0
1100 GARNETT PL,,42.0528994,-87.6862967,2,0,0
2008 PRATT CT,,42.054243,-87.68621900000001,1,0,0
2206 SHERMAN AVE,,42.057714,-87.682196,1,0,1
1117 FOSTER ST,,42.0541205,-87.6867955,1,1,0
2100 GREEN BAY RD,,42.0640467,-87.6989079,1,0,0
2102 MAPLE AVE,,42.055952,-87.68502699999999,3,0,1
CHICAGO AVE AND DAVIS ST,,42.0462024,-87.6796557,1,0,0
2219 RIDGE AVE,,42.0581212,-87.6858614,1,0,0
2190 CAMPUS DR,Ryan Hall,42.0567362,-87.6744444,25,0,1
2135 SHERIDAN RD,,42.0569387,-87.6771495,1,0,0
2133 SHERIDAN RD,Ford Engineering,42.0568987,-87.6770544,26,0,1
1824 SHERIDAN RD,,42.0499431,-87.6743845,1,0,0
1616 HINMAN AVE,,42.0465299,-87.67812,1,0,0
628 LIBRARY PL,,42.054719,-87.67868100000001,3,0,0
1006 FOSTER ST,,42.0537119,-87.6851174,1,0,0
1611 RIDGE AVE,,42.0475412,-87.6883982,1,0,0
EMERSON ST AND SHERIDAN RD,,42.0520743,-87.6772654,5,0,0
1970 ORRINGTON AVE,,42.0537824,-87.6797124,1,0,0
FOSTER ST AND PRATT CT,,42.0539419,-87.6858908,1,1,0
 620 LIBRARY PL ,,42.054856,-87.6784081,1,0,0
1715 CHICAGO AVE,,42.04846329999999,-87.6780601,3,2,0
1470 ELMWOOD AVE,,42.0446876,-87.6835208,1,0,0
1930 RIDGE AVE,,42.05337,-87.68802199999999,4,0,0
2201 CAMPUS DR,Larc Drive,42.0562473,-87.67350030000001,9,0,0
 GARNETT PL,,42.053092,-87.6847135,3,0,0
70 ARTS CIRCLE DR,Bienen Music School,42.0517463,-87.6714889,23,0,1
2381 CAMPUS DR,Northbeach,42.0562473,-87.67350030000001,2,0,0
1932 MAPLE AVE,,42.0533887,-87.6849647,1,0,0
2046 SHERIDAN RD,,42.055612,-87.6775846,1,0,0
2146 ORRINGTON AVE,,42.057226,-87.68021999999999,1,0,0
EMERSON ST AND RIDGE AVE,,42.0521515,-87.6878608,1,0,0
SHERIDAN RD AND GARRETT PL,,42.0562277,-87.677165,6,0,0
715 FOSTER ST,,42.05418700000001,-87.68057999999999,1,0,0
1402 CENTRAL ST,,42.0638552,-87.6910175,1,0,0
2201 MAPLE AVE,,42.057708,-87.68417199999999,1,0,0
1700 MAPLE AVE,,42.0488468,-87.6850209,4,0,0
1100 CHURCH ST,,42.048231,-87.68713799999999,1,0,0
NOYES ST AND RIDGE AVE,,42.0584521,-87.6858427,1,0,0
30 ARTS CIRCLE DR,,42.0527607,-87.6718058,2,0,0
1841 CAMPUS DR,,42.0502605,-87.6739886,10,0,0
811 FOSTER ST,,42.0540007,-87.68237769999999,2,1,0
900 SIMPSON ST,,42.055801,-87.68352999999999,1,1,0
1619 RIDGE AVE,,42.0479714,-87.6886347,1,0,1
623 NOYES ST,,42.058377,-87.67838069999999,2,0,0
2122 SHERIDAN RD,Seabury-Western ,42.0570147,-87.67786459999999,15,3,0
1823 SHERMAN AVE,Music Practice,42.05061190000001,-87.68171439999999,6,0,1
1629 ORRINGTON AVE,,42.0475667,-87.6805207,1,0,0
1941 DARROW AVE,,42.053568,-87.69689199999999,1,0,0
 40 ARTS CIRCLE ,,42.0522113,-87.6726894,1,0,0
2014 SHERMAN AVE,,42.05457,-87.682204,1,0,0
 1835 HINMAN AVE ,,42.0497772,-87.67566,1,0,0
 725 HINMAN AVE ,,42.0313109,-87.6767279,1,0,0
1720 ORRINGTON AVE,,42.04895519999999,-87.6804513,1,0,0
 584 LINCOLN ST ,,42.0614708,-87.67611649999999,1,0,0
GREEN BAY RD AND RIDGE AVE,,42.05150140000001,-87.6881956,1,0,0
1400 CHICAGO AVE,,42.0428224,-87.680954,2,0,0
1999 SHERIDAN RD,,42.0507832,-87.6763682,1,0,0
1900 GREEN BAY RD,,42.0525932,-87.68908599999999,4,0,0
2217 RIDGE AVE,,42.0580519,-87.6859171,2,0,2
908 HAMLIN ST,,42.0548464,-87.6840062,3,0,1
1845 SHERIDAN RD,Fisk Hall,42.0507029,-87.6741602,25,0,0
817 HAMLIN ST,,42.055292,-87.682642,2,0,0
1600 ORRINGTON AVE,,42.0471431,-87.6815799,1,0,0
1943 SHERMAN AVE,,42.053591,-87.681353,2,0,0
 2400 BLOCK SHERIDAN RD ,,42.06120600000001,-87.677629,1,0,0
NOYES ST AND SHERIDAN RD,,42.0583613,-87.6771292,6,0,1
637 UNIVERSITY PL,Alpha Chi Omega,42.0514381,-87.6789439,10,4,0
 NOYES ST,,42.0581038,-87.7034422,5,0,0
1642 MAPLE AVE,,42.0482563,-87.6855704,1,0,0
1601 SHERMAN AVE,,42.047294,-87.681564,2,0,0
BROWN AVE AND SIMPSON ST,,42.0556243,-87.7003709,1,0,0
516 CHURCH ST,,42.0470671,-87.6779238,1,0,0
2122 ORRINGTON AVE,,42.056436,-87.68023,1,0,0
2211 MAPLE AVE,,42.0579377,-87.68433329999999,4,0,3
2100 CAMPUS DR,,42.0559386,-87.67411059999999,15,0,0
826 SIMPSON ST,,42.0555779,-87.68306899999999,1,0,0
DODGE AVE AND SIMPSON ST,,42.0556434,-87.6988131,1,0,0
1940 SHERMAN AVE,,42.05372029999999,-87.68203770000001,4,2,0
1800 SHERMAN AVE,,42.050293,-87.6822569,39,4,1
1700 DODGE AVE,,42.0485165,-87.6992111,1,0,0
1927 MAPLE AVE,,42.0530432,-87.684714,1,0,0
1720 MAPLE AVE,,42.049392,-87.685327,1,0,0
1012 GARNETT PL,,42.052864,-87.685431,1,2,0
2300 ORRINGTON AVE,,42.061107,-87.68058599999999,1,0,0
1705 RIDGE AVE,,42.0487076,-87.6884295,1,0,1
 900 BLOCK CHURCH ST ,,42.0482929,-87.6839301,1,0,0
1918 MAPLE AVE,,42.052816,-87.68496999999999,3,2,0
1621 RIDGE AVE,,42.0480537,-87.6886392,1,0,0
1600 FOREST PL,,42.04484850000001,-87.67455559999999,1,0,0
1900 JACKSON AVE,,42.052211,-87.6928801,1,0,0
629 FOSTER ST,Hillel Center,42.0541379,-87.67868159999999,4,0,0
600 DAVIS ST,,42.0460891,-87.67995839999999,1,0,0
1911 CENTRAL ST,,42.0645297,-87.6994339,1,0,0
1105 SIMPSON ST,,42.056028,-87.6861,1,0,0
2210 SHERMAN AVE,,42.05797750000001,-87.6820915,1,0,0
LIBRARY PL AND SHERIDAN RD,,42.05500139999999,-87.6771799,1,0,0
FOSTER ST AND ORRINGTON AVE,,42.0538615,-87.6797095,2,0,0
DEMPSTER ST AND DODGE AVE,,42.0411181,-87.69913939999999,1,0,0
629 COLFAX ST,Art Department Studios,42.06083,-87.678574,4,0,0
SHERMAN AVE AND UNIVERSITY PL,,42.0512563,-87.6818407,1,0,0
1839 CAMPUS DR,,42.0502605,-87.6739886,2,0,0
2300 RIDGE AVE,,42.0594271,-87.6854637,2,0,0
2245 MAPLE AVE,,42.0583286,-87.6845814,1,0,0
2204 ORRINGTON AVE,,42.0575627,-87.6801249,1,0,0
813 GAFFIELD PL,,42.0571144,-87.682368,1,0,0
2300 NOYES CT,,42.0597348,-87.6829812,9,0,0
SHERIDAN RD AND NOYES ST,,42.0583613,-87.6771292,8,4,0
SHERMAN AVE AND GROVE ST,,42.04547720000001,-87.6819031,2,0,0
1801 HINMAN AVE,Admissions,42.04915,-87.67580819999999,13,0,0
720 FOSTER ST,,42.053654,-87.6808719,3,0,1
 2400 BLK SHERIDAN RD ,,42.06120600000001,-87.677629,1,0,0
2135 ORRINGTON AVE,,42.05687100000001,-87.679141,2,0,0
SHERIDAN RD AND DARTMOUTH ST,,42.0593629,-87.67711419999999,1,0,0
2321 CAMPUS DR,,42.0590799,-87.673463,1,1,0
2207 SHERMAN AVE,,42.05777399999999,-87.681067,2,0,0
1861 SHERIDAN RD,West Fairchild,42.0510276,-87.6755712,43,14,2
 2120 CAMPUS DR ,,42.0560662,-87.6745112,2,0,0
2247 RIDGE AVE,,42.0589495,-87.6851518,2,0,0
2133 RIDGE AVE,,42.0566019,-87.6858372,1,0,0
CHURCH ST AND DODGE AVE,,42.0483751,-87.698982,1,0,0
 RESIDENCE HALL ,,42.0597641,-87.6757727,2,0,0
2311 CAMPUS DR,Sports & Aquatics Center,42.05978229999999,-87.6729662,176,0,4
 2311 CAMPUS DR ,,42.05978229999999,-87.6729662,3,0,0
 SIMPSON / GREEN BAY ,,42.0559835,-87.6925187,1,0,0
UNIVERSITY PL AND OAK AVE,,42.0510713,-87.6865499,1,0,0
1516 OAK AVE,,42.0452589,-87.6868556,1,0,0
1897 SHERIDAN RD,University Hall,42.0518441,-87.67599249999999,22,0,2
2110 SHERIDAN RD,Sheil Catholic Center,42.0559575,-87.6776778,5,0,0
2600 SHERIDAN RD,,42.0640477,-87.6770889,1,0,0
EMERSON ST AND MAPLE AVE,,42.0521156,-87.68472299999999,1,0,0
1800 SHERIDAN RD,John Evans Center,42.0491203,-87.67511859999999,32,3,0
SHERIDAN RD AND INGLESIDE PL,,42.0670723,-87.67839699999999,1,0,0
40 ARTS CIRCLE DR,Block Museum,42.0522113,-87.6726894,6,0,1
1000 GARNETT PL,,42.0531003,-87.6852272,2,1,0
 900 MAPLE AVE ,,42.0340072,-87.6852198,1,0,0
717 EMERSON ST,,42.0522544,-87.6806201,5,1,0
2157 RIDGE AVE,,42.057492,-87.68570199999999,1,0,1
817 UNIVERSITY PL,,42.0514651,-87.68275109999999,1,0,0
800 EMERSON ST,,42.0520767,-87.68175749999999,5,0,0
2303 SHERIDAN RD,CCS,42.0593218,-87.6766698,27,4,2
2601 ORRINGTON AVE,Wieboldt House,42.0644407,-87.6788483,9,0,2
2031 SHERIDAN RD,,42.0548284,-87.675967,2,0,0
2146 SHERIDAN RD,,42.0578329,-87.6771373,2,0,0
2233 TECH DR,Mudd Library,42.0570876,-87.6757308,16,0,0
1918 ORRINGTON AVE,,42.0527917,-87.6801215,2,0,0
 CAMPUS DR / LARC DRIVE ,,0,0,1,0,0
1121 GARNETT PL,,42.05331049999999,-87.68719759999999,1,0,0
 1801 MAPLE AVE ,,42.0503815,-87.68424430000002,2,0,0
620 CHURCH ST,,42.0480316,-87.6800251,4,0,0
1010 CHURCH ST,,42.0483477,-87.6856554,1,0,0
711 EMERSON ST,,42.0522746,-87.6803808,1,0,1
1921 SHERMAN AVE,,42.0529202,-87.6813461,2,0,0
2021 SHERIDAN RD,Cresap ,42.0548831,-87.674931,7,1,0
1420 CENTRAL ST,,42.0641104,-87.6918407,1,0,0
1900 RIDGE AVE,,42.0521458,-87.687862,6,1,0
EMERSON ST AND MCCORMICK BLVD,,42.0525195,-87.7092832,1,0,0
SHERIDAN RD AND TECH DR,,42.0585535,-87.6771265,1,0,0
2023 ASBURY AVE,,42.0549013,-87.6879328,1,0,0
1937 SHERIDAN RD,Deering Library,42.0507157,-87.6761159,15,0,0
823 INGLESIDE PL,,42.0673259,-87.682232,1,0,0
2121 SHERIDAN RD,Garrett Seminary,42.0562209,-87.6755804,28,0,0
1818 MAPLE AVE,,42.0506791,-87.68518279999999,2,0,0
1600 MAPLE AVE,,42.0470486,-87.68496689999999,1,0,0
 1823 CAMPUS DR ,,42.0509228,-87.67148879999999,1,0,0
823 EMERSON ST,,42.052415,-87.68306199999999,1,0,0
927 DAVIS ST,,42.0472149,-87.6847834,1,0,0
1820 CHICAGO AVE,Allison Hall,42.0504851,-87.67801150000001,136,72,1
SHERMAN AVE AND NOYES ST,,42.0584266,-87.6816133,1,0,0
LEON PL AND RIDGE AVE,,42.0549061,-87.687164,4,1,0
400 CLARK ST,,42.048395,-87.675077,1,0,0
310 SUPERIOR ST,Morton Medical,0,0,1,0,0
1924 SHERMAN AVE,,42.053053,-87.682193,1,0,0
1841 SHERIDAN RD,SIEGEL VISITOR CENTER,42.0503531,-87.6734784,22,0,0
531 LINCOLN ST,,42.0615984,-87.6749627,1,0,0
900 GAFFIELD PL,,42.0569613,-87.6838482,2,2,0
800 NOYES ST,,42.0584266,-87.68162319999999,4,0,0
1300 LINCOLN ST,,42.0621428,-87.6894216,1,0,0
2347 SHERIDAN RD,Phi Delta Theta,42.0607822,-87.6761353,12,0,1
1900 ASBURY AVE,,42.052413,-87.69035099999999,1,0,0
2349 SHERIDAN RD,Beta Theta Pi,42.061102,-87.6769698,13,2,2
 2705 ASHLAND AVE ,,42.0669302,-87.6924432,1,0,0
 60 ARTS CIRCLE DR ,,42.0521894,-87.67142659999999,1,0,0
1936 MAPLE AVE,,42.0533763,-87.6849534,2,0,0
1100 EMERSON ST,,42.05182,-87.68629299999999,1,0,0
1517 CHICAGO AVE,,42.045721,-87.679886,1,0,0
800 CHURCH ST,,42.0484716,-87.68185129999999,1,0,0
1229 LEON PL,,42.05518199999999,-87.688586,1,0,0
1845 CAMPUS DR,,42.0502605,-87.6739886,1,0,0
MAPLE AVE AND SIMPSON ST,,42.0558142,-87.6846576,2,0,0
1935 SHERIDAN RD,,42.0507135,-87.6761078,4,0,0
1900 SHERIDAN RD,,42.0520864,-87.67726449999999,16,2,0
1301 CHICAGO AVE,,42.0413576,-87.6803259,1,0,0
1500 GROVE ST,,42.044936,-87.689381,1,0,0
1818 HINMAN AVE,Philosophy Department II,42.0497538,-87.6764433,5,0,0
600 GARRETT PL,,42.0562599,-87.6757925,1,0,0
817 EMERSON ST,,42.052413,-87.68275,4,0,0
630 EMERSON ST,Hobart House,42.0520786,-87.6784806,17,2,0
2212 SHERMAN AVE,,42.0581135,-87.6824117,2,1,1
822 HAMLIN ST,,42.0548307,-87.6828834,15,0,10
2603 SHERIDAN RD,,42.0640864,-87.6765406,1,0,0
339 CHICAGO AVE,,42.025247,-87.6777517,1,0,0
