Address,Common Name,Latitude,Longitude,Total,Substances,Noise
2210 MAPLE AVE,,42.0579493,-87.6848589,1,0,0
2002 PRATT CT,,42.054102,-87.686223,2,0,0
2142 MAPLE AVE,,42.057308,-87.685069,9,2,2
1735 CHICAGO AVE,,42.0484934,-87.6781431,2,0,0
2131 SHERMAN AVE,,42.056764,-87.681079,2,0,0
633 EMERSON ST,Student Health,42.0522868,-87.6788622,186,0,0
1819 HINMAN AVE,ACADEMIC OFFICE,42.0495512,-87.6761105,58,2,0
1922 SHERIDAN RD,College of Art/Sciences II,42.0529433,-87.67761279999999,7,0,0
1730 CHICAGO AVE,,42.0489108,-87.6787255,1,0,0
1909 ASBURY AVE,,42.052655,-87.68975999999999,1,0,0
1838 CAMPUS DR,,42.0502605,-87.6739886,1,0,0
RIDGE AVE AND CENTRAL ST,,42.0641594,-87.6835282,1,0,0
 SHERMAN AVE,,42.0434566,-87.681923,16,2,0
1113 GRANT ST,,42.059717,-87.686809,1,0,0
 ORRINGTON AVE,,42.0562359,-87.6796651,4,0,0
828 SIMPSON ST,,42.0555774,-87.68322979999999,10,0,7
 2529 W FITCH ST ,,42.0110389,-87.693668,1,0,0
1300 CHICAGO AVE,,42.0411843,-87.6805684,1,0,0
SHERIDAN RD AND LIBRARY PL,,42.05500139999999,-87.6771799,1,0,0
1024 FOSTER ST,,42.053693,-87.685985,2,0,0
2420 CAMPUS DR,Kemper Hall,42.0609938,-87.6749603,49,23,3
700 EMERSON ST,,42.0520824,-87.6790955,1,0,0
918 SIMPSON ST,,42.0556613,-87.68433879999999,2,0,2
1033 UNIVERSITY PL,,42.051097,-87.68609000000001,3,0,0
1018 FOSTER ST,,42.0537461,-87.6856378,1,0,0
912 HAMLIN ST,,42.0547759,-87.684143,9,0,6
CLARK ST AND JUDSON AVE,,42.0485706,-87.67472459999999,1,1,0
1703 RIDGE AVE,,42.048844,-87.68842200000002,3,0,1
1725 SHERMAN AVE,,42.04933949999999,-87.6814438,1,0,0
2151 RIDGE AVE,,42.0573738,-87.6858621,3,0,1
 1501 CENTRAL ST ,,42.0642783,-87.6928188,3,0,0
823 HAMLIN ST,,42.055304,-87.682857,1,0,0
900 NOYES ST,,42.058455,-87.6842729,2,0,0
1637 ORRINGTON AVE,,42.0478211,-87.68057669999999,2,0,0
1617 RIDGE AVE,,42.0478891,-87.68863019999999,1,0,1
SHERIDAN RD AND HAVEN ST,,42.0572969,-87.677144,1,1,0
1800 GREY AVE,,42.05025639999999,-87.70272659999999,1,0,0
 2100 BLOCK CAMPUS DR ,,42.0559386,-87.67411059999999,1,0,0
2006 SHERIDAN RD,Statistics,42.05416,-87.67765229999999,1,0,0
808 HAMLIN ST,,42.05487900000001,-87.682344,1,0,0
636 CHURCH ST,,42.04801490000001,-87.68046969999999,1,0,0
1856 SHERMAN AVE,,42.0517033,-87.6820309,1,1,0
738 NOYES ST,,42.0583988,-87.680373,1,0,0
640 EMERSON ST,Gamma Phi Beta,42.0519925,-87.6794268,10,1,0
1813 HINMAN AVE,Journalism/Advertising,42.0493804,-87.6757669,4,0,0
1118 FOSTER ST,,42.053706,-87.68683399999999,4,3,2
1100 FOSTER ST,,42.0539422,-87.6859058,3,4,0
CHURCH ST AND BENSON AVE,,42.0484748,-87.68338759999999,1,0,0
 2400 BLK SHERIDAN PL ,,42.06871,-87.6798587,1,0,0
 LAKE ST,,42.0442884,-87.69508019999999,2,0,0
2140 SHERMAN AVE,,42.057067,-87.68202000000001,1,0,0
721 CENTRAL ST,,42.0643427,-87.68066209999999,3,0,0
913 HAMLIN ST,,42.05531999999999,-87.684083,1,2,0
 2220 CAMPUS DR ,,42.0577785,-87.6733929,3,0,0
820 DAVIS ST,,42.0466618,-87.6829625,1,0,0
1914 SHERIDAN RD,African/Amer. Student Affairs,42.0525829,-87.677722,3,0,0
1125 DAVIS ST,,42.047376,-87.6879958,1,0,0
732 COLFAX ST,,42.060267,-87.68132299999999,1,0,0
1001 DAVIS ST,,42.0472354,-87.6851609,1,0,0
1501 ASHLAND AVE,,42.044944,-87.6930919,2,0,0
625 UNIVERSITY PL,Delta Delta Delta,42.0510895,-87.6782875,6,0,1
2307 ORRINGTON AVE,,42.0595981,-87.6792366,1,1,0
1865 SHERMAN AVE,Willard Hall,42.05141589999999,-87.6808972,87,40,0
617 HAVEN ST,Naval ROTC,42.0575323,-87.6781749,2,0,0
2107 RIDGE AVE,,42.05605449999999,-87.6868095,1,0,0
1600 OAK AVE,,42.0470957,-87.68682700000001,1,3,0
817 NOYES ST,,42.0585564,-87.6826293,1,0,0
 NORTH CAMPUS RESIDENCE ,,42.05268909999999,-87.6843921,1,0,0
1900 MAPLE AVE,,42.0521254,-87.68472290000001,3,0,0
2016 SHERIDAN RD,Linguistics,42.0542963,-87.6771973,1,0,0
630 DARTMOUTH ST,International Office,42.059103,-87.678539,6,0,0
1800 OAK AVE,,42.0510819,-87.6865497,1,0,0
2224 SHERMAN AVE,,42.0581279,-87.6824184,1,0,0
1856 ORRINGTON AVE,NU Residence IV,42.05171840000001,-87.67946549999999,7,5,0
2106 MAPLE AVE,,42.0560979,-87.6850132,1,0,0
2131 TECH DR,Dearborn Observatory,42.0567266,-87.6750742,1,0,0
1906 ORRINGTON AVE,,42.0523809,-87.680131,1,2,0
1238 SIMPSON ST,,42.0556245,-87.6890256,1,2,0
1116 FOSTER ST,,42.053704,-87.686723,7,0,6
DAVIS ST AND OAK AVE,,42.04708129999999,-87.68682749999999,2,0,0
1000 FOSTER ST,,42.0537541,-87.68488579999999,5,0,0
619 COLFAX ST,NU Home,42.060826,-87.678113,13,2,1
1900 ORRINGTON AVE,College Apartments,42.0521834,-87.6800201,5,0,0
2235 CAMPUS DR,,42.0562473,-87.67350030000001,2,0,0
576 LINCOLN ST,Zeta Beta Tau,42.0615835,-87.6757013,8,0,1
1881 CAMPUS DR,,42.0517022,-87.6735868,1,0,0
1800 MAPLE AVE,,42.0500262,-87.6851305,4,0,2
2307 SHERIDAN RD,Delta Upsilon,42.0596301,-87.67699160000001,5,0,0
1010 FOSTER ST,,42.053686,-87.685339,2,2,0
1603 ORRINGTON AVE,Bank One,42.0471351,-87.6807264,1,0,0
 739 HINMAN AVE ,,42.03174660000001,-87.6773154,1,0,0
2019 RIDGE AVE,,42.0546162,-87.68684499999999,4,0,1
 UNKNOWN ,,0,0,2,0,0
2030 MAPLE AVE,,42.055057,-87.685037,1,0,0
807 CHURCH ST,,42.0485785,-87.682454,1,0,0
1113 FOSTER ST,,42.054181,-87.686669,3,0,0
1801 MAPLE AVE,ITECH,42.0503815,-87.68424430000002,27,0,0
1103 SIMPSON ST,,42.056019,-87.68600400000001,6,0,2
2335 SHERIDAN RD,Sigma Nu,42.0603947,-87.67664789999999,12,0,1
 NORTH CAMPUS RESIDENCE HALL ,,42.0597641,-87.6757727,2,0,0
1855 SHERMAN AVE,,42.0511428,-87.6816903,1,0,0
2305 SHERIDAN RD,Bobb Hall,42.05958090000001,-87.6755259,107,58,6
1918 SHERIDAN RD,College of Art/Sciences,42.0527547,-87.67766590000001,3,0,0
2100 SHERIDAN RD,,42.0558337,-87.6771706,22,2,0
699 UNIVERSITY PL,South Quads,42.0511346,-87.6794438,1,0,0
2121 RIDGE AVE,,42.0563175,-87.68621999999999,1,0,1
 2200 BLOCK OF CAMPUS DR ,,42.0571651,-87.6735707,1,0,0
655 UNIVERSITY PL,South Mid-Quad,42.0513822,-87.67968739999999,18,10,0
 1880 CAMPUS DR ,,42.0515711,-87.67493250000001,2,0,0
2100 RIDGE AVE,,42.0567323,-87.6873493,14,6,0
2205 RIDGE AVE,,42.0577543,-87.6854472,1,2,0
1970 CAMPUS DR,University Library,42.053528,-87.674066,148,3,1
1701 SHERMAN AVE,,42.04861469999999,-87.68136679999999,1,0,0
2200 SHERIDAN RD,North Quad,42.05754659999999,-87.6776648,7,2,0
2115 MAPLE AVE,,42.056342,-87.68419899999999,6,1,1
ORRINGTON AVE AND FOSTER ST,,42.0538615,-87.6797095,1,0,0
2203 RIDGE AVE,,42.0577475,-87.68543660000002,1,0,0
 1800 BLOCK CAMPUS DR ,,42.05160679999999,-87.67473799999999,2,0,0
2314 SHERMAN AVE,,42.060063,-87.68179900000001,1,0,0
626 UNIVERSITY PL,Shepard Hall,42.0510931,-87.6785345,39,17,0
2018 PRATT CT,,42.0546215,-87.6861569,4,0,3
2141 MAPLE AVE,,42.057229,-87.684291,6,0,3
830 NOYES ST,,42.058455,-87.6842641,1,0,0
2112 ORRINGTON AVE,,42.0561696,-87.6801382,1,0,0
637 EMERSON ST,,42.0520818,-87.67897920000001,1,0,0
1802 LAKE ST,,42.04402,-87.69793899999999,1,0,0
2034 ORRINGTON AVE,,42.055197,-87.68026499999999,1,0,0
1500 CENTRAL ST,,42.0640988,-87.6924514,4,0,0
829 FOSTER ST,,42.0541052,-87.6832141,3,0,0
2033 SHERIDAN RD,Lunt Hall,42.0547974,-87.6763192,14,2,2
EMERSON ST AND SHERMAN AVE,,42.0520765,-87.68174979999999,4,2,0
1740 ORRINGTON AVE,,42.04974490000001,-87.6804109,15,2,0
1115 EMERSON ST,,42.0523415,-87.68705059999999,4,0,0
1815 CHICAGO AVE,Community Studies Department,42.0498537,-87.67733400000002,2,0,0
 2705 ASHALND AVE ,,42.0669302,-87.6924432,1,0,0
ORRINGTON AVE AND HAVEN ST,,42.0573298,-87.6796457,1,0,0
1808 CHICAGO AVE,,42.0499087,-87.678291,1,0,0
1200 DAVIS ST,,42.04649149999999,-87.6894065,2,0,0
548 LINCOLN ST,,42.0615944,-87.6747666,1,1,0
SHERMAN AVE AND DAVIS ST,,42.04680219999999,-87.6818457,1,0,0
815 GAFFIELD PL,,42.057114,-87.682486,1,0,0
2870 SHERIDAN PL,VP Student Affairs Executive Residence,42.069657,-87.6813559,1,0,0
1119 FOSTER ST,,42.054178,-87.68691100000001,4,2,1
2013 RIDGE AVE,,42.05442499999999,-87.686848,1,2,0
 2221 CAMPUS DR ,,42.0562473,-87.67350030000001,1,0,0
RIDGE AVE AND GROVE ST,,42.0456274,-87.688608,3,0,0
1112 GARNETT PL,,42.05290890000001,-87.6868574,1,0,0
2025 CAMPUS DR,,42.0534135,-87.6734153,1,0,0
2135 RIDGE AVE,,42.0566152,-87.68582239999999,1,0,0
 NOYES ST AND HAVEN ST ,,42.0581038,-87.7034422,1,0,0
619 UNIVERSITY PL,Kappa Alpha Theta,42.051431,-87.67833540000001,12,0,0
1700 HINMAN AVE,,42.04772759999999,-87.6776033,2,0,0
828 GAFFIELD PL,,42.05668259999999,-87.6831654,3,0,2
 1501 CENTRAL AVE ,,42.0642783,-87.6928188,3,0,0
1810 HINMAN AVE,Anthropology,42.0495716,-87.6768941,2,0,0
500 DAVIS ST,,42.0456384,-87.6785659,2,0,0
922 NOYES ST,,42.0583177,-87.68414609999999,1,2,0
2313 SHERIDAN RD,Chi Psi,42.0595081,-87.6766571,25,0,6
626 EMERSON ST,,42.051838,-87.678693,3,1,0
 NORTH CAMPUS STUDENT RESIDENCE ,,42.0599759,-87.67558070000001,1,0,0
 2300 BLOCK SHERIDAN RD ,,42.0593957,-87.6771141,1,0,0
2170 CAMPUS DR,Silverman Hall,42.0563707,-87.67408329999999,18,0,1
1800 HARTREY AVE,,42.0502259,-87.7039202,1,0,0
2230 TECH DR,,42.0570876,-87.6757308,1,0,0
500 CLARK ST,,42.0489814,-87.6763971,4,0,0
ELGIN RD AND BENSON AVE,,42.0516162,-87.6832746,1,2,0
MAPLE AVE AND UNIVERSITY PL,,42.0513033,-87.68473879999999,1,0,0
837 LINCOLN ST,,42.0619563,-87.68335820000001,1,0,0
 ASBURY AVE,,42.0442088,-87.6901931,1,0,0
617 LIBRARY PL,,42.0552661,-87.6781756,4,0,0
 SOUTH CAMPUS RESIDENCE ,,42.0514078,-87.67761999999999,1,0,0
1946 ORRINGTON AVE,,42.053731,-87.68021399999999,2,0,1
 SHERIDAN RD,,42.0474906,-87.6743094,32,2,0
2151 SHERIDAN RD,,42.05750190000001,-87.677144,1,0,0
809 FOSTER ST,,42.0540662,-87.68229529999999,1,0,1
2100 ASHLAND AVE,,42.05572979999999,-87.6941724,1,2,0
625 NOYES ST,Center for Health Services,42.058378,-87.6784617,1,0,0
1850 SHERMAN AVE,,42.051465,-87.6820013,1,0,0
 1970 CAMPUS DR ,,42.053528,-87.674066,3,0,0
1220 LEON PL,,42.0549059,-87.6871974,1,0,0
2047 ASBURY AVE,,42.0556413,-87.689255,7,0,6
566 LINCOLN ST,Pi Kappa Alpha,42.0616031,-87.6751956,4,2,0
2313 CAMPUS DR,,42.0590799,-87.673463,1,0,1
1949 CAMPUS DR,Theatre and Interp,42.0520918,-87.67312299999999,32,1,2
600 UNIVERSITY PL,,42.0509586,-87.67755079999999,11,8,0
817 DAVIS ST,,42.0471898,-87.68314649999999,3,0,0
 1820 CHICAGO AVE ,,42.0504851,-87.67801150000001,1,0,0
1812 HINMAN AVE,,42.0496178,-87.6765547,1,0,0
2400 CHURCH ST,,42.04824319999999,-87.70675299999999,1,0,0
2301 CAMPUS DR,Lakefill,42.0562473,-87.67350030000001,53,9,1
620 LIBRARY PL,African Affairs,42.054856,-87.6784081,3,0,0
2253 RIDGE AVE,,42.0592665,-87.6849739,3,0,0
627 DARTMOUTH ST,Center for Teching Excellence,42.05966890000001,-87.67853649999999,1,0,0
726 CLARK ST,,42.0496465,-87.681246,1,0,0
1725 ORRINGTON AVE,McManus Living Center,42.0490243,-87.6795649,47,2,6
619 CLARK ST,Bursar's Office/Business Office,42.0498139,-87.6790798,27,0,1
1500 ASBURY AVE,,42.045057,-87.690654,1,0,0
1000 EMERSON ST,,42.0521202,-87.68518739999999,3,0,0
2213 RIDGE AVE,,42.058012,-87.685581,4,0,2
2204 SHERMAN AVE,,42.05769660000001,-87.68160739999999,2,0,0
2457 PRAIRIE AVE,,42.0629239,-87.6992999,1,0,0
1925 RIDGE AVE,,42.0527999,-87.68739939999999,1,0,0
2112 SHERIDAN RD,,42.0559935,-87.67716829999999,1,0,0
 1900 BLOCK OF SHERIDAN RD ,,42.0520864,-87.67726449999999,1,0,0
1812 CHICAGO AVE,Sociology Department III,42.0501,-87.678169,6,0,0
1113 CLARK ST,,42.050256,-87.6875282,1,0,0
2253 SHERIDAN RD,Foster House,42.05910310000001,-87.676675,6,3,0
 1600 BENSON ST ,,42.04703960000001,-87.6834526,1,0,0
1239 EMERSON ST,,42.052479,-87.68981199999999,1,0,0
SHERMAN AVE AND SIMPSON ST,,42.0557093,-87.6816803,1,0,0
1927 SHERIDAN RD,,42.0507048,-87.6760752,1,0,0
1014 NOYES ST,,42.058404,-87.68539349999999,2,0,0
2311 SHERIDAN RD,,42.0596723,-87.67711249999999,2,0,0
HINMAN AVE AND CHURCH ST,,42.0472818,-87.6772098,1,0,0
2006 SHERMAN AVE,,42.054137,-87.681833,3,0,0
2004 ORRINGTON AVE,,42.0543587,-87.67981999999999,1,0,0
1937 CAMPUS DR,,42.0520778,-87.6735446,2,0,0
 633 EMERSON ST ,,42.0522868,-87.6788622,1,0,0
623 GARRETT PL,,42.0565445,-87.6782135,3,0,0
2339 SHERIDAN RD,Lambda Chi Alpha,42.0604776,-87.67636379999999,8,1,2
2325 SHERIDAN RD,Sigma Alpha Epsilon,42.0599928,-87.67665749999999,20,6,4
1026 GARNETT PL,,42.0528783,-87.68612449999999,2,0,0
2137 ORRINGTON AVE,,42.0568899,-87.67965350000001,1,0,0
1622 RIDGE AVE,,42.0480189,-87.68926990000001,1,0,0
 2300 BLOCK OF CAMPUS DR ,,42.0562473,-87.67350030000001,2,0,0
900 DAVIS ST,,42.0470427,-87.6836788,1,0,0
300 SUPERIOR ST,Tarry Building,0,0,1,0,0
 1000 DAVIS (NORTH ALLEY) ST ,,42.0468401,-87.6852033,1,0,0
1911 GREEN BAY RD,,42.05284380000001,-87.68905330000001,2,0,0
FOSTER ST AND SHERIDAN RD,,42.0538387,-87.67721,3,0,0
800 CLINTON PL,,42.0652953,-87.681507,1,0,0
2222 SHERMAN AVE,,42.0581121,-87.6824074,2,0,0
911 FOSTER ST,,42.0541258,-87.6840136,2,0,0
920 UNIVERSITY PL,FM Operations Shops,42.0512916,-87.68397689999999,1,0,0
2215 RIDGE AVE,,42.0579162,-87.6860596,1,0,1
 CLARK ST,,42.0499744,-87.681473,4,0,0
1835 HINMAN AVE,Hinman Dorm,42.0497772,-87.67566,108,57,2
1700 JUDSON AVE,,42.0468499,-87.6755008,4,0,0
1220 GRANT ST,,42.0591816,-87.68886979999999,1,0,0
BENSON AVE AND ELGIN RD,,42.0516162,-87.6832746,3,0,0
1638 RIDGE AVE,,42.0482057,-87.6887689,1,0,0
2001 SHERIDAN RD,Jacobs Center,42.0538563,-87.67653870000001,143,0,2
1420 CHICAGO AVE,,42.0434292,-87.6809575,1,0,0
2649 ORRINGTON AVE,,42.065832,-87.67902099999999,1,0,0
720 EMERSON ST,Sigma Alpha Iota,42.0510483,-87.67945069999999,6,0,0
1901 SHERMAN AVE,,42.052359,-87.681472,1,0,0
2033 SHERMAN AVE,,42.0550491,-87.6811445,1,0,0
 2601 ORRINGTON AVE ,,42.0644407,-87.6788483,1,0,0
2234 SHERMAN AVE,,42.058653,-87.6817355,1,2,0
2038 SHERMAN AVE,,42.055395,-87.68218600000002,1,0,0
2701 ASHLAND AVE,Anderson Hall,42.0667871,-87.69381159999999,17,0,0
1900 CAMPUS DR,Center ,42.0520778,-87.6735446,19,1,0
 620 CLARK (EAST ALLEY) ST ,,42.0495318,-87.679245,1,0,0
1515 CHICAGO AVE,,42.0455309,-87.6794848,1,0,0
917 SIMPSON ST,,42.0558068,-87.68402979999999,1,1,0
ELGIN RD AND SHERMAN AVE,,42.05057619999999,-87.68171629999999,2,0,0
800 FOSTER ST,,42.0538824,-87.6817162,2,0,0
SIMPSON ST AND ASBURY AVE,,42.055803,-87.6895322,1,0,1
800 DAVIS ST,,42.04659119999999,-87.68204349999999,1,0,0
 1845 SHERIDAN RD ,,42.0507029,-87.6741602,2,0,0
 UNKNOWN OFF CAMPUS ,,0,0,1,0,0
1840 CAMPUS DR,,42.0502605,-87.6739886,2,0,0
1720 OAK AVE,,42.04931759999999,-87.6872094,1,0,0
CHURCH ST AND ASBURY AVE,,42.04854,-87.69011599999999,1,0,0
1000 UNIVERSITY PL,,42.0510564,-87.6856231,3,0,0
1800 RAILROAD AVE,,42.0508219,-87.6868574,2,0,0
1920 CAMPUS DR,Annie May Swift,42.0522864,-87.67505609999999,10,0,0
2026 CAMPUS DR,Central Utility Plant,42.0533728,-87.67341739999999,6,0,0
1612 BENSON AVE,,42.0475258,-87.68355179999999,2,0,0
 2601 SHERIDAN RD ,,42.0638959,-87.676189,1,0,1
 LAKE SHORE DR / LAWRENCE AVE ,,0,0,1,0,0
1001 CHURCH ST,,42.049053,-87.686246,1,0,0
1703 ORRINGTON AVE,,42.0484179,-87.6800063,3,0,0
2147 MAPLE AVE,,42.0574384,-87.6842401,2,0,1
728 CLARK ST,,42.0498148,-87.6813915,1,0,0
1820 CAMPUS DR,,42.0588367,-87.67416329999999,1,0,0
2200 CAMPUS DR,Pancoe,42.0571651,-87.6735707,37,2,1
 SIMPSON ST / BRIDGE AVE ,,42.0555546,-87.70453529999999,1,0,0
1850 SHERIDAN RD,,42.0503786,-87.6748447,1,0,1
2321 RIDGE AVE,,42.060029,-87.68483300000001,1,3,0
 901 NOYES ST ,,42.058455,-87.6842599,1,0,0
550 LINCOLN ST,,42.0615048,-87.6747841,1,0,0
1300 CENTRAL ST,,42.063968,-87.689751,2,1,0
CHURCH ST AND ORRINGTON AVE,,42.0482358,-87.68077219999999,2,0,0
 1800 SHERMAN AVE ,,42.050293,-87.6822569,1,0,0
2317 SHERIDAN RD,Delta Tau Delta,42.0599265,-87.6766141,9,0,0
2240 CAMPUS DR,Searle C/D,42.05847440000001,-87.67365079999999,44,2,1
 618 SHERIDAN SQUARE ,,42.0288386,-87.6692181,1,0,0
700 SIMPSON ST,,42.0555767,-87.6796904,1,0,1
1309 SIMPSON ST,,42.0559397,-87.6900955,1,0,0
 655 UNIVERSITY PL ,,42.0513822,-87.67968739999999,1,0,0
819 SIMPSON ST,,42.056089,-87.68269099999999,1,0,0
1809 CHICAGO AVE,Debate Society (Hardy House),42.0496979,-87.67749110000001,1,0,0
1600 CENTRAL ST,,42.0641143,-87.6940681,1,0,0
SHERIDAN RD AND EMERSON ST,,42.0520743,-87.6772654,8,2,0
 2310 OAKTON AVE ,,42.0261709,-87.70630170000001,1,0,0
619 LIBRARY PL,NU Home V,42.0552689,-87.67833929999999,3,0,0
811 SIMPSON ST,,42.0558697,-87.6824537,3,0,0
721 EMERSON ST,,42.0520575,-87.68077919999999,1,0,0
2200 RIDGE AVE,,42.0574278,-87.6862953,3,0,0
1710 ORRINGTON AVE,,42.0489645,-87.68072749999999,6,0,0
717 UNIVERSITY PL,Delta Zeta,42.0514344,-87.680821,12,3,0
2303 RIDGE AVE,,42.059409,-87.685045,3,1,2
1600 HINMAN AVE,,42.0462934,-87.678556,1,0,0
MAPLE AVE AND GARNETT PL,,42.053092,-87.6847135,2,1,0
1400 RIDGE AVE,,42.0427367,-87.68843749999999,4,1,0
 640 LINCON ST ,,42.0611133,-87.67922030000001,1,0,0
901 DAVIS ST,,42.0492313,-87.684281,2,0,0
900 HAMLIN ST,,42.0550921,-87.6838683,6,6,0
SIMPSON ST AND GREEN BAY RD,,42.0557573,-87.6915982,1,0,0
1630 CHICAGO AVE,,42.04753609999999,-87.6795325,11,0,0
1999 CAMPUS DR,Norris Center,42.0533926,-87.67266719999999,267,20,1
1102 FOSTER ST,,42.053696,-87.68612399999999,7,0,5
600 NOYES ST,,42.0583614,-87.6771381,2,0,0
LIBRARY PL AND ORRINGTON AVE,,42.0550386,-87.6796841,1,0,0
CENTRAL ST AND RIDGE AVE,,42.0641594,-87.6835282,1,0,0
1710 SHERMAN AVE,,42.04887950000001,-87.68231159999999,2,1,0
1740 HINMAN AVE,,42.04881,-87.67678029999999,1,0,1
614 CLARK ST,,42.0494557,-87.6789859,3,0,0
1100 NOYES ST,,42.0584414,-87.68587629999999,1,0,0
 2100 SHERIDAD RD ,,42.0558337,-87.6771706,1,0,0
 CAMPUS DR ,,42.0556274,-87.6740913,2,1,0
2237 SHERMAN AVE,,42.0588539,-87.681073,1,0,0
2147 SHERMAN AVE,,42.057279,-87.681073,4,0,1
 GROVE ST,,42.0455179,-87.697727,1,0,0
2000 CAMPUS DR,,42.0533728,-87.67341739999999,4,0,0
2315 CAMPUS DR,North Garage,42.0562473,-87.67350030000001,20,0,0
1700 RIDGE AVE,,42.0485218,-87.68878409999999,2,1,0
2247 SHERIDAN RD,Phi Kappa Psi,42.0590003,-87.67577720000001,14,5,1
 2400 BLOCK OF SHERIDAN RD ,,42.06120600000001,-87.677629,1,0,0
SHERMAN AVE AND MILBURN ST,,42.0628564,-87.6816058,1,0,0
1490 CHICAGO AVE,,42.0448847,-87.6807927,1,0,0
1633 OAK AVE,,42.0483115,-87.68647159999999,1,0,0
NOYES ST AND SHERMAN AVE,,42.0584266,-87.6816133,3,0,0
1890 MAPLE AVE,Institute for Learning Science,42.051806,-87.685298,3,0,0
 FOSTER ST,,42.0537656,-87.7023617,7,1,0
 SIMPSON ST,,42.0555546,-87.70453529999999,1,0,0
 / LAKE STREET/SHERMAN AVENUE ,,42.04431020000001,-87.6809358,1,0,0
2400 CAMPUS DR,,42.0562473,-87.67350030000001,3,0,0
 LINCOLN ST,,42.06220039999999,-87.6957018,3,1,0
2005 PRATT CT,,42.054236,-87.68556699999999,1,0,0
721 UNIVERSITY PL,Evans Scholars,42.0512422,-87.68098169999999,11,0,0
 1847 CAMPUS DR ,,42.0502605,-87.6739886,1,0,0
 HINMAN AVE,,42.0388364,-87.67881200000001,5,2,0
CHURCH ST AND RIDGE AVE,,42.04851000000001,-87.6887856,2,0,0
 2233 TECH DR ,,42.0570876,-87.6757308,2,0,0
2255 CAMPUS DR,,42.0562473,-87.67350030000001,1,0,0
1104 GARNETT PL,,42.052877,-87.68641699999999,2,0,0
